LOCATION,Country,Value,GDPPerCapita
GBR,United Kingdom,47147,
USA,United States,69392,
CHL,Chile,26729,
EST,Estonia,30720,
ISR,Israel,39322,
LVA,Latvia,29876,
SVN,Slovenia,41445,
OECD,OECD - Total,49165,
AUS,Australia,93,
AUT,Austria,92,
BEL,Belgium,90,
CAN,Canada,93,
CZE,Czechia,96,
DNK,Denmark,95,
FIN,Finland,96,
FRA,France,94,
DEU,Germany,90,
GRC,Greece,78,
HUN,Hungary,94,
ISL,Iceland,98,
IRL,Ireland,96,
ITA,Italy,89,
JPN,Japan,89,
KOR,Korea,80,
LUX,Luxembourg,91,
MEX,Mexico,77,
NLD,Netherlands,94,
NZL,New Zealand,95,
NOR,Norway,96,
POL,Poland,94,
PRT,Portugal,87,
SVK,Slovak Republic,95,
ESP,Spain,93,
SWE,Sweden,94,
CHE,Switzerland,94,
TUR,Türkiye,85,
GBR,United Kingdom,93,
USA,United States,94,
BRA,Brazil,83,
CHL,Chile,88,
EST,Estonia,95,
ISR,Israel,95,
LVA,Latvia,92,
RUS,Russia,89,
SVN,Slovenia,95,
ZAF,South Africa,89,
OECD,OECD - Total,91,
AUS,Australia,93,
AUT,Austria,92,
BEL,Belgium,92,
CAN,Canada,93,
CZE,Czechia,95,
DNK,Denmark,93,
FIN,Finland,94,
FRA,France,92,
DEU,Germany,91,
GRC,Greece,77,
HUN,Hungary,92,
ISL,Iceland,99,
IRL,Ireland,96,
ITA,Italy,92,
JPN,Japan,84,
KOR,Korea,74,
LUX,Luxembourg,91,
MEX,Mexico,77,
NLD,Netherlands,96,
NZL,New Zealand,95,
NOR,Norway,96,
POL,Poland,93,
PRT,Portugal,88,
SVK,Slovak Republic,94,
ESP,Spain,93,
SWE,Sweden,94,
CHE,Switzerland,93,
TUR,Türkiye,82,
GBR,United Kingdom,89,
USA,United States,93,
BRA,Brazil,86,
CHL,Chile,88,
EST,Estonia,93,
ISR,Israel,95,
LVA,Latvia,89,
RUS,Russia,88,
SVN,Slovenia,95,
ZAF,South Africa,89,
OECD,OECD - Total,90,
AUS,Australia,94,
AUT,Austria,93,
BEL,Belgium,87,
CAN,Canada,93,
CZE,Czechia,97,
DNK,Denmark,97,
FIN,Finland,98,
FRA,France,96,
DEU,Germany,89,
GRC,Greece,79,
HUN,Hungary,96,
ISL,Iceland,98,
IRL,Ireland,96,
ITA,Italy,86,
JPN,Japan,93,
KOR,Korea,86,
LUX,Luxembourg,91,
MEX,Mexico,76,
NLD,Netherlands,92,
NZL,New Zealand,95,
NOR,Norway,96,
POL,Poland,95,
PRT,Portugal,86,
SVK,Slovak Republic,95,
ESP,Spain,94,
SWE,Sweden,93,
CHE,Switzerland,95,
TUR,Türkiye,88,
GBR,United Kingdom,96,
USA,United States,94,
BRA,Brazil,80,
CHL,Chile,88,
EST,Estonia,97,
ISR,Israel,96,
LVA,Latvia,94,
RUS,Russia,89,
SVN,Slovenia,95,
ZAF,South Africa,89,
OECD,OECD - Total,92,
AUS,Australia,96,
AUT,Austria,96,
BEL,Belgium,94,
CAN,Canada,94,
CZE,Czechia,99,
DNK,Denmark,95,
FIN,Finland,100,
FRA,France,97,
DEU,Germany,91,
GRC,Greece,86,
HUN,Hungary,95,
ISL,Iceland,99,
IRL,Ireland,96,
ITA,Italy,90,
JPN,Japan,90,
KOR,Korea,86,
LUX,Luxembourg,92,
MEX,Mexico,86,
NLD,Netherlands,97,
NZL,New Zealand,93,
NOR,Norway,98,
POL,Poland,98,
PRT,Portugal,95,
SVK,Slovak Republic,97,
ESP,Spain,97,
SWE,Sweden,96,
CHE,Switzerland,95,
TUR,Türkiye,93,
GBR,United Kingdom,93,
USA,United States,96,
BRA,Brazil,90,
CHL,Chile,94,
EST,Estonia,96,
ISR,Israel,96,
LVA,Latvia,97,
RUS,Russia,93,
ZAF,South Africa,94,
OECD,OECD - Total,94,
AUS,Australia,93,
AUT,Austria,92,
BEL,Belgium,88,
CAN,Canada,93,
CZE,Czechia,96,
DNK,Denmark,95,
FIN,Finland,97,
FRA,France,95,
DEU,Germany,90,
GRC,Greece,77,
HUN,Hungary,96,
IRL,Ireland,97,
ITA,Italy,91,
JPN,Japan,90,
KOR,Korea,78,
LUX,Luxembourg,91,
MEX,Mexico,81,
NLD,Netherlands,93,
NZL,New Zealand,96,
NOR,Norway,94,
POL,Poland,93,
PRT,Portugal,92,
SVK,Slovak Republic,95,
ESP,Spain,93,
SWE,Sweden,93,
CHE,Switzerland,94,
TUR,Türkiye,84,
GBR,United Kingdom,93,
USA,United States,93,
BRA,Brazil,86,
CHL,Chile,88,
EST,Estonia,93,
ISR,Israel,95,
LVA,Latvia,91,
RUS,Russia,89,
SVN,Slovenia,95,
ZAF,South Africa,90,
OECD,OECD - Total,91,
AUS,Australia,84,
AUT,Austria,86,
BEL,Belgium,80,
CAN,Canada,92,
CZE,Czechia,94,
DNK,Denmark,82,
FIN,Finland,91,
FRA,France,81,
DEU,Germany,86,
GRC,Greece,76,
HUN,Hungary,86,
ISL,Iceland,76,
IRL,Ireland,85,
ITA,Italy,63,
KOR,Korea,89,
LUX,Luxembourg,74,
MEX,Mexico,42,
NLD,Netherlands,81,
NZL,New Zealand,81,
NOR,Norway,82,
POL,Poland,93,
PRT,Portugal,55,
SVK,Slovak Republic,92,
ESP,Spain,63,
SWE,Sweden,84,
CHE,Switzerland,89,
TUR,Türkiye,42,
GBR,United Kingdom,82,
USA,United States,92,
BRA,Brazil,57,
CHL,Chile,67,
EST,Estonia,91,
ISR,Israel,88,
LVA,Latvia,89,
RUS,Russia,95,
SVN,Slovenia,90,
ZAF,South Africa,48,
OECD,OECD - Total,79,
AUS,Australia,84,
AUT,Austria,88,
BEL,Belgium,78,
CAN,Canada,91,
CZE,Czechia,95,
DNK,Denmark,80,
FIN,Finland,89,
FRA,France,81,
DEU,Germany,87,
GRC,Greece,75,
HUN,Hungary,87,
ISL,Iceland,74,
IRL,Ireland,83,
ITA,Italy,61,
KOR,Korea,92,
LUX,Luxembourg,74,
MEX,Mexico,42,
NLD,Netherlands,81,
NZL,New Zealand,80,
NOR,Norway,82,
POL,Poland,93,
PRT,Portugal,52,
SVK,Slovak Republic,93,
ESP,Spain,60,
SWE,Sweden,83,
CHE,Switzerland,90,
TUR,Türkiye,45,
GBR,United Kingdom,81,
USA,United States,91,
BRA,Brazil,53,
CHL,Chile,67,
EST,Estonia,87,
ISR,Israel,87,
LVA,Latvia,86,
RUS,Russia,94,
SVN,Slovenia,91,
ZAF,South Africa,48,
OECD,OECD - Total,78,
AUS,Australia,84,
AUT,Austria,83,
BEL,Belgium,81,
CAN,Canada,94,
CZE,Czechia,93,
DNK,Denmark,83,
FIN,Finland,94,
FRA,France,82,
DEU,Germany,86,
GRC,Greece,78,
HUN,Hungary,84,
ISL,Iceland,78,
IRL,Ireland,88,
ITA,Italy,65,
KOR,Korea,87,
LUX,Luxembourg,74,
MEX,Mexico,41,
NLD,Netherlands,81,
NZL,New Zealand,82,
NOR,Norway,83,
POL,Poland,94,
PRT,Portugal,59,
SVK,Slovak Republic,92,
ESP,Spain,66,
SWE,Sweden,85,
CHE,Switzerland,88,
TUR,Türkiye,38,
GBR,United Kingdom,83,
USA,United States,92,
BRA,Brazil,60,
CHL,Chile,68,
EST,Estonia,94,
ISR,Israel,89,
LVA,Latvia,93,
RUS,Russia,96,
SVN,Slovenia,89,
ZAF,South Africa,48,
OECD,OECD - Total,80,
AUS,Australia,499,
AUT,Austria,491,
BEL,Belgium,500,
CAN,Canada,517,
CZE,Czechia,495,
DNK,Denmark,501,
FIN,Finland,516,
FRA,France,494,
DEU,Germany,500,
GRC,Greece,453,
HUN,Hungary,479,
ISL,Iceland,481,
IRL,Ireland,505,
ITA,Italy,477,
JPN,Japan,520,
KOR,Korea,520,
LUX,Luxembourg,477,
MEX,Mexico,416,
NLD,Netherlands,502,
NZL,New Zealand,503,
NOR,Norway,497,
POL,Poland,513,
PRT,Portugal,492,
SVK,Slovak Republic,469,
SWE,Sweden,503,
CHE,Switzerland,498,
TUR,Türkiye,462,
GBR,United Kingdom,503,
USA,United States,495,
BRA,Brazil,400,
CHL,Chile,438,
EST,Estonia,526,
ISR,Israel,465,
LVA,Latvia,487,
RUS,Russia,481,
SVN,Slovenia,504,
OECD,OECD - Total,488,
AUS,Australia,495,
AUT,Austria,489,
BEL,Belgium,499,
CAN,Canada,512,
CZE,Czechia,490,
DNK,Denmark,496,
FIN,Finland,503,
FRA,France,490,
DEU,Germany,497,
GRC,Greece,445,
HUN,Hungary,477,
ISL,Iceland,472,
IRL,Ireland,501,
ITA,Italy,476,
JPN,Japan,519,
KOR,Korea,517,
LUX,Luxembourg,472,
MEX,Mexico,418,
NLD,Netherlands,497,
NZL,New Zealand,500,
NOR,Norway,486,
POL,Poland,508,
PRT,Portugal,490,
SVK,Slovak Republic,463,
SWE,Sweden,495,
CHE,Switzerland,494,
TUR,Türkiye,458,
GBR,United Kingdom,503,
USA,United States,493,
BRA,Brazil,397,
CHL,Chile,436,
EST,Estonia,521,
ISR,Israel,452,
LVA,Latvia,482,
RUS,Russia,478,
SVN,Slovenia,495,
OECD,OECD - Total,485,
AUS,Australia,503,
AUT,Austria,493,
BEL,Belgium,501,
CAN,Canada,521,
CZE,Czechia,501,
DNK,Denmark,506,
FIN,Finland,530,
FRA,France,497,
DEU,Germany,504,
GRC,Greece,462,
HUN,Hungary,481,
ISL,Iceland,491,
IRL,Ireland,508,
ITA,Italy,478,
JPN,Japan,521,
KOR,Korea,522,
LUX,Luxembourg,481,
MEX,Mexico,415,
NLD,Netherlands,508,
NZL,New Zealand,506,
NOR,Norway,508,
POL,Poland,518,
PRT,Portugal,494,
SVK,Slovak Republic,475,
SWE,Sweden,510,
CHE,Switzerland,502,
TUR,Türkiye,467,
GBR,United Kingdom,504,
USA,United States,498,
BRA,Brazil,403,
CHL,Chile,439,
EST,Estonia,530,
ISR,Israel,477,
LVA,Latvia,493,
RUS,Russia,485,
SVN,Slovenia,512,
OECD,OECD - Total,491,
AUS,Australia,549,
AUT,Austria,533,
BEL,Belgium,550,
CAN,Canada,553,
CZE,Czechia,544,
DNK,Denmark,540,
FIN,Finland,562,
FRA,France,550,
DEU,Germany,564,
GRC,Greece,502,
HUN,Hungary,534,
ISL,Iceland,510,
IRL,Ireland,557,
ITA,Italy,511,
JPN,Japan,537,
KOR,Korea,552,
LUX,Luxembourg,537,
MEX,Mexico,464,
NLD,Netherlands,536,
NZL,New Zealand,558,
NOR,Norway,532,
POL,Poland,560,
PRT,Portugal,543,
SVK,Slovak Republic,511,
SWE,Sweden,549,
CHE,Switzerland,539,
TUR,Türkiye,513,
GBR,United Kingdom,550,
USA,United States,558,
BRA,Brazil,470,
CHL,Chile,502,
EST,Estonia,558,
ISR,Israel,529,
LVA,Latvia,512,
RUS,Russia,510,
SVN,Slovenia,541,
OECD,OECD - Total,534,
AUS,Australia,460,
AUT,Austria,440,
BEL,Belgium,440,
CAN,Canada,485,
CZE,Czechia,439,
DNK,Denmark,462,
FIN,Finland,483,
FRA,France,443,
DEU,Germany,450,
GRC,Greece,417,
HUN,Hungary,420,
ISL,Iceland,437,
IRL,Ireland,482,
ITA,Italy,436,
JPN,Japan,465,
KOR,Korea,477,
LUX,Luxembourg,415,
MEX,Mexico,382,
NLD,Netherlands,448,
NZL,New Zealand,462,
NOR,Norway,459,
POL,Poland,469,
PRT,Portugal,448,
SVK,Slovak Republic,404,
SWE,Sweden,460,
CHE,Switzerland,435,
TUR,Türkiye,437,
GBR,United Kingdom,471,
USA,United States,460,
BRA,Brazil,373,
CHL,Chile,415,
EST,Estonia,497,
ISR,Israel,407,
LVA,Latvia,447,
RUS,Russia,443,
SVN,Slovenia,462,
OECD,OECD - Total,445,
AUS,Australia,20,
AUT,Austria,17,
BEL,Belgium,19,
CAN,Canada,17,
CZE,Czechia,18,
DNK,Denmark,19,
FIN,Finland,20,
FRA,France,17,
DEU,Germany,18,
GRC,Greece,19,
HUN,Hungary,16,
ISL,Iceland,19,
IRL,Ireland,18,
ITA,Italy,17,
JPN,Japan,16,
KOR,Korea,17,
LUX,Luxembourg,15,
MEX,Mexico,15,
NLD,Netherlands,19,
NZL,New Zealand,18,
NOR,Norway,18,
POL,Poland,18,
PRT,Portugal,17,
SVK,Slovak Republic,16,
ESP,Spain,18,
SWE,Sweden,20,
CHE,Switzerland,17,
TUR,Türkiye,19,
GBR,United Kingdom,17,
USA,United States,17,
BRA,Brazil,16,
CHL,Chile,17,
EST,Estonia,18,
ISR,Israel,16,
LVA,Latvia,18,
RUS,Russia,16,
SVN,Slovenia,18,
OECD,OECD - Total,18,
AUS,Australia,20,
AUT,Austria,17,
BEL,Belgium,19,
CAN,Canada,17,
CZE,Czechia,17,
DNK,Denmark,19,
FIN,Finland,19,
FRA,France,16,
DEU,Germany,18,
GRC,Greece,19,
HUN,Hungary,16,
ISL,Iceland,18,
IRL,Ireland,18,
ITA,Italy,16,
JPN,Japan,16,
KOR,Korea,18,
LUX,Luxembourg,15,
MEX,Mexico,15,
NLD,Netherlands,19,
NZL,New Zealand,17,
NOR,Norway,18,
POL,Poland,17,
PRT,Portugal,17,
SVK,Slovak Republic,15,
ESP,Spain,18,
SWE,Sweden,19,
CHE,Switzerland,18,
TUR,Türkiye,19,
GBR,United Kingdom,16,
USA,United States,17,
BRA,Brazil,16,
CHL,Chile,17,
EST,Estonia,17,
ISR,Israel,15,
LVA,Latvia,18,
RUS,Russia,16,
SVN,Slovenia,18,
OECD,OECD - Total,17,
AUS,Australia,21,
AUT,Austria,17,
BEL,Belgium,20,
CAN,Canada,17,
CZE,Czechia,18,
DNK,Denmark,20,
FIN,Finland,20,
FRA,France,17,
DEU,Germany,18,
GRC,Greece,19,
HUN,Hungary,17,
ISL,Iceland,20,
IRL,Ireland,18,
ITA,Italy,17,
JPN,Japan,16,
KOR,Korea,17,
LUX,Luxembourg,15,
MEX,Mexico,16,
NLD,Netherlands,19,
NZL,New Zealand,18,
NOR,Norway,19,
POL,Poland,18,
PRT,Portugal,17,
SVK,Slovak Republic,16,
ESP,Spain,18,
SWE,Sweden,20,
CHE,Switzerland,17,
TUR,Türkiye,18,
GBR,United Kingdom,17,
USA,United States,18,
BRA,Brazil,16,
CHL,Chile,18,
EST,Estonia,18,
ISR,Israel,16,
LVA,Latvia,19,
RUS,Russia,17,
SVN,Slovenia,19,
OECD,OECD - Total,18,
AUS,Australia,6.7,
AUT,Austria,12.2,
BEL,Belgium,12.8,
CAN,Canada,7.1,
CZE,Czechia,17,
DNK,Denmark,10,
FIN,Finland,5.5,
FRA,France,11.4,
DEU,Germany,12,
GRC,Greece,14.5,
HUN,Hungary,16.7,
ISL,Iceland,6.4,
IRL,Ireland,7.8,
ITA,Italy,15.9,
JPN,Japan,13.7,
KOR,Korea,27.3,
LUX,Luxembourg,10,
MEX,Mexico,20.3,
NLD,Netherlands,12.2,
NZL,New Zealand,6,
NOR,Norway,6.7,
POL,Poland,22.8,
PRT,Portugal,8.3,
SVK,Slovak Republic,18.5,
ESP,Spain,10,
SWE,Sweden,5.8,
CHE,Switzerland,10.1,
TUR,Türkiye,27.1,
GBR,United Kingdom,10.1,
USA,United States,7.7,
BRA,Brazil,11.7,
CHL,Chile,23.4,
EST,Estonia,5.9,
ISR,Israel,19.7,
LVA,Latvia,12.7,
RUS,Russia,11.8,
SVN,Slovenia,17,
ZAF,South Africa,28.5,
OECD,OECD - Total,14,
AUS,Australia,92,
AUT,Austria,92,
BEL,Belgium,79,
CAN,Canada,90,
CZE,Czechia,89,
DNK,Denmark,93,
FIN,Finland,97,
FRA,France,78,
DEU,Germany,91,
GRC,Greece,67,
HUN,Hungary,81,
ISL,Iceland,97,
IRL,Ireland,80,
ITA,Italy,77,
JPN,Japan,87,
KOR,Korea,82,
LUX,Luxembourg,85,
MEX,Mexico,75,
NLD,Netherlands,91,
NZL,New Zealand,85,
NOR,Norway,98,
POL,Poland,82,
PRT,Portugal,89,
SVK,Slovak Republic,81,
ESP,Spain,76,
SWE,Sweden,97,
CHE,Switzerland,96,
TUR,Türkiye,62,
GBR,United Kingdom,82,
USA,United States,88,
BRA,Brazil,70,
CHL,Chile,62,
EST,Estonia,86,
ISR,Israel,77,
LVA,Latvia,83,
RUS,Russia,62,
SVN,Slovenia,93,
ZAF,South Africa,72,
OECD,OECD - Total,84,
AUS,Australia,93,
AUT,Austria,91,
BEL,Belgium,81,
CAN,Canada,94,
CZE,Czechia,93,
DNK,Denmark,93,
FIN,Finland,96,
FRA,France,78,
DEU,Germany,90,
GRC,Greece,69,
HUN,Hungary,83,
ISL,Iceland,98,
IRL,Ireland,79,
ITA,Italy,73,
JPN,Japan,89,
KOR,Korea,80,
LUX,Luxembourg,85,
MEX,Mexico,78,
NLD,Netherlands,95,
NZL,New Zealand,85,
NOR,Norway,98,
POL,Poland,83,
PRT,Portugal,91,
SVK,Slovak Republic,83,
ESP,Spain,75,
SWE,Sweden,98,
CHE,Switzerland,96,
TUR,Türkiye,64,
GBR,United Kingdom,80,
USA,United States,90,
BRA,Brazil,70,
CHL,Chile,64,
EST,Estonia,86,
ISR,Israel,74,
LVA,Latvia,84,
RUS,Russia,64,
SVN,Slovenia,95,
ZAF,South Africa,71,
OECD,OECD - Total,85,
AUS,Australia,91,
AUT,Austria,92,
BEL,Belgium,77,
CAN,Canada,87,
CZE,Czechia,86,
DNK,Denmark,92,
FIN,Finland,97,
FRA,France,79,
DEU,Germany,92,
GRC,Greece,66,
HUN,Hungary,79,
ISL,Iceland,96,
IRL,Ireland,81,
ITA,Italy,82,
JPN,Japan,85,
KOR,Korea,84,
LUX,Luxembourg,85,
MEX,Mexico,72,
NLD,Netherlands,88,
NZL,New Zealand,84,
NOR,Norway,98,
POL,Poland,82,
PRT,Portugal,88,
SVK,Slovak Republic,80,
ESP,Spain,77,
SWE,Sweden,97,
CHE,Switzerland,95,
TUR,Türkiye,60,
GBR,United Kingdom,84,
USA,United States,86,
BRA,Brazil,71,
CHL,Chile,60,
EST,Estonia,86,
ISR,Israel,79,
LVA,Latvia,83,
RUS,Russia,59,
SVN,Slovenia,90,
ZAF,South Africa,73,
OECD,OECD - Total,84,
AUS,Australia,92,
AUT,Austria,76,
BEL,Belgium,88,
CAN,Canada,68,
CZE,Czechia,62,
DNK,Denmark,85,
FIN,Finland,69,
FRA,France,75,
DEU,Germany,76,
GRC,Greece,58,
HUN,Hungary,70,
ISL,Iceland,81,
IRL,Ireland,63,
ITA,Italy,73,
JPN,Japan,53,
KOR,Korea,77,
LUX,Luxembourg,90,
MEX,Mexico,63,
NLD,Netherlands,79,
NZL,New Zealand,82,
NOR,Norway,78,
POL,Poland,68,
PRT,Portugal,49,
SVK,Slovak Republic,66,
ESP,Spain,72,
SWE,Sweden,87,
CHE,Switzerland,45,
TUR,Türkiye,86,
GBR,United Kingdom,68,
USA,United States,65,
BRA,Brazil,80,
CHL,Chile,47,
EST,Estonia,64,
ISR,Israel,67,
LVA,Latvia,55,
RUS,Russia,68,
SVN,Slovenia,53,
ZAF,South Africa,66,
OECD,OECD - Total,69,
AUS,Australia,83,
AUT,Austria,82,
BEL,Belgium,82.1,
CAN,Canada,82.1,
CZE,Czechia,79.3,
DNK,Denmark,81.5,
FIN,Finland,82.1,
FRA,France,82.9,
DEU,Germany,81.4,
GRC,Greece,81.7,
HUN,Hungary,76.4,
ISL,Iceland,83.2,
IRL,Ireland,82.8,
ITA,Italy,83.6,
JPN,Japan,84.4,
KOR,Korea,83.3,
LUX,Luxembourg,82.7,
MEX,Mexico,75.1,
NLD,Netherlands,82.2,
NZL,New Zealand,82.1,
NOR,Norway,83,
POL,Poland,78,
PRT,Portugal,81.8,
SVK,Slovak Republic,77.8,
ESP,Spain,83.9,
SWE,Sweden,83.2,
CHE,Switzerland,84,
TUR,Türkiye,78.6,
GBR,United Kingdom,81.3,
USA,United States,78.9,
BRA,Brazil,75.9,
CHL,Chile,80.6,
EST,Estonia,78.8,
ISR,Israel,82.9,
LVA,Latvia,75.5,
RUS,Russia,73.2,
SVN,Slovenia,81.6,
ZAF,South Africa,64.2,
OECD,OECD - Total,81,
AUS,Australia,80.9,
AUT,Austria,79.7,
BEL,Belgium,79.8,
CAN,Canada,80,
CZE,Czechia,76.4,
DNK,Denmark,79.5,
FIN,Finland,79.3,
FRA,France,79.9,
DEU,Germany,79,
GRC,Greece,79.2,
HUN,Hungary,73.1,
ISL,Iceland,81.7,
IRL,Ireland,80.8,
ITA,Italy,81.4,
JPN,Japan,81.4,
KOR,Korea,80.3,
LUX,Luxembourg,80.2,
MEX,Mexico,72.2,
NLD,Netherlands,80.6,
NZL,New Zealand,80.3,
NOR,Norway,81.3,
POL,Poland,74.1,
PRT,Portugal,78.7,
SVK,Slovak Republic,74.3,
ESP,Spain,81.1,
SWE,Sweden,81.5,
CHE,Switzerland,82.1,
TUR,Türkiye,75.9,
GBR,United Kingdom,79.4,
USA,United States,76.3,
BRA,Brazil,72.2,
CHL,Chile,77.9,
EST,Estonia,74.5,
ISR,Israel,81,
LVA,Latvia,70.9,
RUS,Russia,68.2,
SVN,Slovenia,78.7,
ZAF,South Africa,60.7,
OECD,OECD - Total,78.3,
AUS,Australia,85,
AUT,Austria,84.2,
BEL,Belgium,84.3,
CAN,Canada,84.2,
CZE,Czechia,82.2,
DNK,Denmark,83.5,
FIN,Finland,84.8,
FRA,France,85.9,
DEU,Germany,83.7,
GRC,Greece,84.2,
HUN,Hungary,79.7,
ISL,Iceland,84.7,
IRL,Ireland,84.7,
ITA,Italy,85.7,
JPN,Japan,87.5,
KOR,Korea,86.3,
LUX,Luxembourg,85.2,
MEX,Mexico,78,
NLD,Netherlands,83.7,
NZL,New Zealand,83.9,
NOR,Norway,84.7,
POL,Poland,81.9,
PRT,Portugal,84.8,
SVK,Slovak Republic,81.2,
ESP,Spain,86.7,
SWE,Sweden,84.8,
CHE,Switzerland,85.8,
TUR,Türkiye,81.3,
GBR,United Kingdom,83.1,
USA,United States,81.4,
BRA,Brazil,79.6,
CHL,Chile,83.4,
EST,Estonia,83,
ISR,Israel,84.8,
LVA,Latvia,80.1,
RUS,Russia,78.2,
SVN,Slovenia,84.5,
ZAF,South Africa,67.7,
OECD,OECD - Total,83.6,
AUS,Australia,85,
AUT,Austria,71,
BEL,Belgium,74,
CAN,Canada,89,
CZE,Czechia,62,
DNK,Denmark,70,
FIN,Finland,68,
FRA,France,67,
DEU,Germany,66,
GRC,Greece,79,
HUN,Hungary,58,
ISL,Iceland,77,
IRL,Ireland,84,
ITA,Italy,73,
JPN,Japan,37,
KOR,Korea,34,
LUX,Luxembourg,72,
MEX,Mexico,66,
NLD,Netherlands,75,
NZL,New Zealand,86,
NOR,Norway,75,
POL,Poland,60,
PRT,Portugal,50,
SVK,Slovak Republic,65,
ESP,Spain,75,
SWE,Sweden,76,
CHE,Switzerland,81,
TUR,Türkiye,67,
GBR,United Kingdom,73,
USA,United States,88,
CHL,Chile,60,
EST,Estonia,57,
ISR,Israel,74,
LVA,Latvia,47,
RUS,Russia,43,
SVN,Slovenia,67,
OECD,OECD - Total,68,
AUS,Australia,85,
AUT,Austria,72,
BEL,Belgium,76,
CAN,Canada,90,
CZE,Czechia,64,
DNK,Denmark,72,
FIN,Finland,69,
FRA,France,69,
DEU,Germany,66,
GRC,Greece,81,
HUN,Hungary,62,
ISL,Iceland,81,
IRL,Ireland,84,
ITA,Italy,76,
JPN,Japan,38,
KOR,Korea,38,
LUX,Luxembourg,73,
MEX,Mexico,67,
NLD,Netherlands,77,
NZL,New Zealand,87,
NOR,Norway,76,
POL,Poland,63,
PRT,Portugal,55,
SVK,Slovak Republic,69,
ESP,Spain,78,
SWE,Sweden,79,
CHE,Switzerland,83,
TUR,Türkiye,72,
GBR,United Kingdom,74,
USA,United States,88,
CHL,Chile,64,
EST,Estonia,59,
ISR,Israel,75,
LVA,Latvia,53,
RUS,Russia,49,
SVN,Slovenia,70,
OECD,OECD - Total,71,
AUS,Australia,86,
AUT,Austria,71,
BEL,Belgium,72,
CAN,Canada,88,
CZE,Czechia,61,
DNK,Denmark,67,
FIN,Finland,68,
FRA,France,65,
DEU,Germany,65,
GRC,Greece,77,
HUN,Hungary,55,
ISL,Iceland,72,
IRL,Ireland,84,
ITA,Italy,70,
JPN,Japan,35,
KOR,Korea,30,
LUX,Luxembourg,70,
MEX,Mexico,64,
NLD,Netherlands,73,
NZL,New Zealand,85,
NOR,Norway,73,
POL,Poland,57,
PRT,Portugal,45,
SVK,Slovak Republic,61,
ESP,Spain,73,
SWE,Sweden,73,
CHE,Switzerland,79,
TUR,Türkiye,62,
GBR,United Kingdom,72,
USA,United States,87,
CHL,Chile,56,
EST,Estonia,54,
ISR,Israel,72,
LVA,Latvia,43,
RUS,Russia,38,
SVN,Slovenia,64,
OECD,OECD - Total,66,
AUS,Australia,93,
AUT,Austria,83,
BEL,Belgium,87,
CAN,Canada,93,
CZE,Czechia,84,
DNK,Denmark,82,
FIN,Finland,82,
FRA,France,72,
DEU,Germany,80,
GRC,Greece,87,
HUN,Hungary,72,
ISL,Iceland,86,
IRL,Ireland,93,
ITA,Italy,80,
JPN,Japan,42,
KOR,Korea,40,
LUX,Luxembourg,76,
NLD,Netherlands,86,
NZL,New Zealand,92,
NOR,Norway,83,
POL,Poland,74,
PRT,Portugal,63,
SVK,Slovak Republic,78,
ESP,Spain,84,
SWE,Sweden,87,
CHE,Switzerland,89,
TUR,Türkiye,74,
GBR,United Kingdom,84,
USA,United States,95,
CHL,Chile,72,
EST,Estonia,78,
ISR,Israel,89,
LVA,Latvia,69,
SVN,Slovenia,79,
OECD,OECD - Total,79,
AUS,Australia,84,
AUT,Austria,61,
BEL,Belgium,57,
CAN,Canada,81,
CZE,Czechia,40,
DNK,Denmark,62,
FIN,Finland,54,
FRA,France,58,
DEU,Germany,49,
GRC,Greece,78,
HUN,Hungary,47,
ISL,Iceland,66,
IRL,Ireland,72,
ITA,Italy,71,
JPN,Japan,29,
KOR,Korea,26,
LUX,Luxembourg,65,
NLD,Netherlands,60,
NZL,New Zealand,82,
NOR,Norway,67,
POL,Poland,49,
PRT,Portugal,38,
SVK,Slovak Republic,57,
ESP,Spain,71,
SWE,Sweden,65,
CHE,Switzerland,71,
TUR,Türkiye,64,
GBR,United Kingdom,62,
USA,United States,71,
CHL,Chile,52,
EST,Estonia,33,
ISR,Israel,79,
LVA,Latvia,25,
SVN,Slovenia,49,
OECD,OECD - Total,58,
AUS,Australia,7.1,
AUT,Austria,7.2,
BEL,Belgium,6.8,
CAN,Canada,7,
CZE,Czechia,6.9,
DNK,Denmark,7.5,
FIN,Finland,7.9,
FRA,France,6.7,
DEU,Germany,7.3,
GRC,Greece,5.8,
HUN,Hungary,6,
ISL,Iceland,7.6,
IRL,Ireland,7,
ITA,Italy,6.5,
JPN,Japan,6.1,
KOR,Korea,5.8,
LUX,Luxembourg,7.4,
MEX,Mexico,6,
NLD,Netherlands,7.5,
NZL,New Zealand,7.3,
NOR,Norway,7.3,
POL,Poland,6.1,
PRT,Portugal,5.8,
SVK,Slovak Republic,6.5,
ESP,Spain,6.5,
SWE,Sweden,7.3,
CHE,Switzerland,7.5,
TUR,Türkiye,4.9,
GBR,United Kingdom,6.8,
USA,United States,7,
BRA,Brazil,6.1,
CHL,Chile,6.2,
EST,Estonia,6.5,
ISR,Israel,7.2,
LVA,Latvia,6.2,
RUS,Russia,5.5,
SVN,Slovenia,6.5,
ZAF,South Africa,4.9,
OECD,OECD - Total,6.7,
AUS,Australia,7.1,
AUT,Austria,7.1,
BEL,Belgium,6.9,
CAN,Canada,7,
CZE,Czechia,6.9,
DNK,Denmark,7.4,
FIN,Finland,7.7,
FRA,France,6.8,
DEU,Germany,7.4,
